id,created,key,summary,project_id,assignee_id,creator_id,overall_worklogs
819952,2019-10-01 05:57:18.000,SM-10678,"UI тесты по заказу ""Добро КейДжи""",5,93,93,1800
819949,2019-10-01 05:59:45.000,SM-10679,"UI тесты раздела ""Профиль""",5,93,93,7200
819947,2019-10-01 06:00:38.000,SM-10680,"UI тесты раздела ""Личный счет""",5,93,93,14400
819943,2019-10-01 06:02:49.000,SM-10682,"UI тесты раздела ""Новости""",5,93,93,900
819941,2019-10-01 06:03:26.000,SM-10683,"UI тесты раздела ""Зоны скидок и доплат""",5,93,93,900
819938,2019-10-01 06:03:43.000,SM-10684,"UI тесты раздела ""Чат со службой поддержки""",5,93,93,900
819935,2019-10-01 06:06:31.000,SM-10685,"UI тесты раздела ""Помощь""",5,93,93,4500
819933,2019-10-01 06:06:36.000,SM-10686,Сделать разделение по мобильным операторам,5,207,1,7800
819931,2019-10-01 06:07:15.000,SM-10687,"UI тесты раздела ""Тур по приложению""",5,93,93,3600
819927,2019-10-01 06:08:50.000,SM-10689,"UI тесты разделов ""О системе"" и ""Рассказать друзьям""",5,93,93,600
819924,2019-10-01 08:36:09.000,SM-10690,Не отрабатывает cdr_calc_durations,5,264,207,17580
819921,2019-10-01 11:49:11.000,SM-10691,Пофиксить краш прилы (NegativeArraySizeException),5,94,94,22500
819919,2019-10-01 15:41:08.000,SM-10692,Сделать мьютекс для изменния баланса водителя,5,1,1,5400
819917,2019-10-02 02:49:35.000,SM-10693,Собрать водительскую прилу с измененным id версии (0.4.29),5,8,54,5400
819912,2019-10-02 12:41:24.000,SM-10694,Фидбек от Чака,5,207,8,4200
819910,2019-10-02 13:21:24.000,SM-10695,Проверка баланса клиента при смене номера телефона в заказе,5,1,1,9000
819906,2019-10-03 09:35:20.000,SM-10697,FieldDescriptor.java line 295,5,1,1,10800
819903,2019-10-03 09:41:53.000,SM-10698,Переделать отчет под новый формат (taxi-corp-site),5,264,1,55260
819896,2019-10-03 10:09:08.000,SM-10701,У борта не обновились деньги после загрузки через терминал,5,207,54,59400
819889,2019-10-03 10:48:26.000,SM-10704,Sprint 70,5,8,8,10800
819886,2019-10-03 10:53:04.000,SM-10705,Релиз NambaTaxi Client iOS 4.31.26,5,8,8,57600
819883,2019-10-03 12:01:14.000,SM-10707,DataStorage.java line 220,5,1,1,1200
819882,2019-10-03 12:14:42.000,SM-10708,Table.java line 682,5,1,1,1800
819880,2019-10-03 12:30:25.000,SM-10709,Написать документацию на фикс ошибки с взятием двух заказов одним водителем,5,264,264,20760
819877,2019-10-03 12:55:38.000,SM-10710,Переделать отчет под новый формат (taxi-dashboard),5,264,1,13800
819875,2019-10-03 12:56:53.000,SM-10711,"Добавить новые поля в отчет ""акт сверки"" (taxi-dashboard)",5,264,1,30960
819871,2019-10-03 13:09:03.000,SM-10712,Модифицировать логику работы со стоимостью корп заказа (taxi-dashboard)),5,1,1,114600
819868,2019-10-03 13:35:36.000,SM-10714,Sprint  70,5,93,93,3600
819863,2019-10-03 14:26:28.000,SM-10715,Релиз NambaTaxi Client Android 5.2.53,5,94,8,63600
